Core,Upper_depth_cm,Lower_depth_cm,Dry_weight_pct,Porosity,Dry_mass_density_g_cm3,Upper_mass_g_cm2,Lower_mass_g_cm2,Median_mass_g_cm2,Pb210,Pb210_Err,Pb210_Unsupported
CORE-1,0,2,30,0.871,0.3354,0,0.6708,0.3354,9.12,0.28,8.4
CORE-1,2,4,,,0.378733333,0.6708,1.428266667,1.049533333,,,
CORE-1,4,6,33,0.853,0.3822,1.428266667,2.192666667,1.810466667,7.54,0.22,6.82
CORE-1,6,9,,,0.409933333,2.192666667,3.422466667,2.807566667,,,
CORE-1,9,11,35.3,0.839,0.4186,3.422466667,4.259666667,3.841066667,7.5,0.34,6.78
CORE-1,11,14,,,0.409933333,4.259666667,5.489466667,4.874566667,,,
CORE-1,14,16,36,0.835,0.429,5.489466667,6.347466667,5.918466667,7.68,0.23,6.96
CORE-1,16,19,,,0.377,6.347466667,7.478466667,6.912966667,,,
CORE-1,19,21,33.1,0.853,0.3822,7.478466667,8.242866667,7.860666667,6.01,0.23,5.29
CORE-1,21,29,,,0.372666667,8.242866667,11.2242,9.733533333,,,
CORE-1,29,31,33.6,0.877,0.3198,11.2242,11.8638,11.544,4.8,0.25,4.08
CORE-1,31,37,,,0.396066667,11.8638,14.2402,13.052,,,
CORE-1,37,41,35.1,0.84,0.416,14.2402,15.9042,15.0722,4.19,0.17,3.47
CORE-1,41,49,,,0.4316,15.9042,19.357,17.6306,,,
CORE-1,49,51,37.4,0.826,0.4524,19.357,20.2618,19.8094,2.03,0.15,1.31
CORE-1,51,59,,,0.437666667,20.2618,23.76313333,22.01246667,,,
CORE-1,59,61,35.8,0.836,0.4264,23.76313333,24.61593333,24.18953333,2.02,0.14,1.3
CORE-1,61,69,,,0.429866667,24.61593333,28.05486667,26.3354,,,
CORE-1,69,71,36.3,0.833,0.4342,28.05486667,28.92326667,28.48906667,1.52,0.09,0.8
CORE-1,71,79,,,0.4342,28.92326667,32.39686667,30.66006667,,,
CORE-1,79,81,36,0.835,0.429,32.39686667,33.25486667,32.82586667,1.06,0.07,0.34
CORE-1,81,89,,,0.430733333,33.25486667,36.70073333,34.9778,,,
CORE-1,89,91,36.6,0.831,0.4394,36.70073333,37.57953333,37.14013333,0.77,0.09,
CORE-1,91,99,,,0.446333333,37.57953333,41.1502,39.36486667,,,
CORE-1,99,101,35.6,0.837,0.4238,41.1502,41.9978,41.574,0.85,0.07,
CORE-1,101,119,,,0.453266667,41.9978,50.1566,46.0772,,,
CORE-1,119,121,38.8,0.817,0.4758,50.1566,51.1082,50.6324,0.66,0.06,
CORE-1,121,139,,,0.469733333,51.1082,59.5634,55.3358,,,
CORE-1,139,141,37.9,0.823,0.4602,59.5634,60.4838,60.0236,0.64,0.05,
CORE-1,141,159,,,0.458466667,60.4838,68.7362,64.61,,,
CORE-1,159,161,38.6,0.818,0.4732,68.7362,69.6826,69.2094,0.62,0.06,
CORE-1,161,179,,,0.446333333,69.6826,77.7166,73.6996,,,
CORE-1,179,181,36.7,0.83,0.442,77.7166,78.6006,78.1586,0.75,0.08,
CORE-1,181,199,,,0.455866667,78.6006,86.8062,82.7034,,,
CORE-1,199,201,35.7,0.837,0.4238,86.8062,87.6538,87.23,0.71,0.08,
CORE-1,201,219,,,0.466266667,87.6538,96.0466,91.8502,,,
CORE-1,219,221,40.2,0.807,0.5018,96.0466,97.0502,96.5484,0.7,0.06,
CORE-1,221,259,,,0.4875,97.0502,115.5752,106.3127,,,
CORE-1,259,261,38.6,0.818,0.4732,115.5752,116.5216,116.0484,0.86,0.09,
CORE-2,0,2,30,0.871,0.3354,0,0.6708,0.3354,9.9,0.28,9.18
CORE-2,2,4,,,0.376133333,0.6708,1.423066667,1.046933333,,,
CORE-2,4,6,33.5,0.85,0.39,1.423066667,2.203066667,1.813066667,8.3,0.27,7.58
CORE-2,6,9,,,0.389133333,2.203066667,3.370466667,2.786766667,,,
CORE-2,9,11,34.4,0.845,0.403,3.370466667,4.176466667,3.773466667,8.75,0.32,8.03
CORE-2,11,14,,,0.396066667,4.176466667,5.364666667,4.770566667,,,
CORE-2,14,16,32.5,0.856,0.3744,5.364666667,6.113466667,5.739066667,7.6,0.22,6.88
CORE-2,16,19,,,0.389133333,6.113466667,7.280866667,6.697166667,,,
CORE-2,19,21,34.9,0.842,0.4108,7.280866667,8.102466667,7.691666667,7.32,0.28,6.6
CORE-2,21,29,,,0.407333333,8.102466667,11.36113333,9.7318,,,
CORE-2,29,31,32.9,0.853,0.3822,11.36113333,12.12553333,11.74333333,7.53,0.32,6.81
CORE-2,31,39,,,0.409933333,12.12553333,15.405,13.76526667,,,
CORE-2,39,41,36,0.835,0.429,15.405,16.263,15.834,5.15,0.16,4.43
CORE-2,41,49,,,0.456733333,16.263,19.91686667,18.08993333,,,
CORE-2,49,51,35.3,0.839,0.4186,19.91686667,20.75406667,20.33546667,4.09,0.19,3.37
CORE-2,51,59,,,0.4836,20.75406667,24.62286667,22.68846667,,,
CORE-2,59,61,41.4,0.799,0.5226,24.62286667,25.66806667,25.14546667,1.53,0.13,0.81
CORE-2,61,69,,,0.500933333,25.66806667,29.67553333,27.6718,,,
CORE-2,69,71,40.7,0.804,0.5096,29.67553333,30.69473333,30.18513333,1.47,0.12,0.75
CORE-2,71,79,,,0.485333333,30.69473333,34.5774,32.63606667,,,
CORE-2,79,81,38.4,0.819,0.4706,34.5774,35.5186,35.048,0.99,0.09,0.27
CORE-2,81,89,,,0.481,35.5186,39.3666,37.4426,,,
CORE-2,89,91,38.7,0.817,0.4758,39.3666,40.3182,39.8424,0.95,0.09,0.23
CORE-2,91,99,,,0.479266667,40.3182,44.15233333,42.23526667,,,
CORE-2,99,101,39.9,0.809,0.4966,44.15233333,45.14553333,44.64893333,0.86,0.09,
CORE-2,101,119,,,0.474066667,45.14553333,53.67873333,49.41213333,,,
CORE-2,119,121,38.2,0.821,0.4654,53.67873333,54.60953333,54.14413333,0.68,0.06,
CORE-2,121,139,,,0.468866667,54.60953333,63.04913333,58.82933333,,,
CORE-2,139,141,37.9,0.823,0.4602,63.04913333,63.96953333,63.50933333,0.67,0.08,
CORE-2,141,159,,,0.520866667,63.96953333,73.34513333,68.65733333,,,
CORE-2,159,161,39.1,0.815,0.481,73.34513333,74.30713333,73.82613333,0.89,0.07,
CORE-2,161,179,,,0.539066667,74.30713333,84.01033333,79.15873333,,,
CORE-2,179,181,41.6,0.761,0.6214,84.01033333,85.25313333,84.63173333,0.65,0.08,
CORE-2,181,199,,,0.5538,85.25313333,95.22153333,90.23733333,,,
CORE-2,199,201,40.9,0.802,0.5148,95.22153333,96.25113333,95.73633333,0.57,0.08,
CORE-2,201,219,,,0.532133333,96.25113333,105.8295333,101.0403333,,,
CORE-2,219,221,41.6,0.798,0.5252,105.8295333,106.8799333,106.3547333,0.89,0.09,
CORE-2,221,259,,,0.5408,106.8799333,127.4303333,117.1551333,,,
CORE-2,259,261,43.2,0.786,0.5564,127.4303333,128.5431333,127.9867333,0.57,0.08,
CORE-3,0,2,31.2,0.864,0.3536,0,0.7072,0.3536,9.57,0.28,8.63
CORE-3,2,4,,,0.39,0.7072,1.4872,1.0972,,,
CORE-3,4,6,33.8,0.848,0.3952,1.4872,2.2776,1.8824,9.6,0.3,8.66
CORE-3,6,9,,,0.393466667,2.2776,3.458,2.8678,,,
CORE-3,9,11,35.5,0.838,0.4212,3.458,4.3004,3.8792,9.89,0.28,8.95
CORE-3,11,14,,,0.381333333,4.3004,5.4444,4.8724,,,
CORE-3,14,16,31.8,0.86,0.364,5.4444,6.1724,5.8084,9.21,0.33,8.27
CORE-3,16,19,,,0.3692,6.1724,7.28,6.7262,,,
CORE-3,19,21,31.6,0.862,0.3588,7.28,7.9976,7.6388,9.87,0.32,8.93
CORE-3,21,29,,,0.3952,7.9976,11.1592,9.5784,,,
CORE-3,29,31,33.3,0.852,0.3848,11.1592,11.9288,11.544,8.25,0.26,7.31
CORE-3,31,39,,,0.401266667,11.9288,15.13893333,13.53386667,,,
CORE-3,39,41,36.7,0.83,0.442,15.13893333,16.02293333,15.58093333,8.58,0.26,7.64
CORE-3,41,49,,,0.416,16.02293333,19.35093333,17.68693333,,,
CORE-3,49,51,32.7,0.855,0.377,19.35093333,20.10493333,19.72793333,7.05,0.24,6.11
CORE-3,51,59,,,0.409933333,20.10493333,23.3844,21.74466667,,,
CORE-3,59,61,36,0.835,0.429,23.3844,24.2424,23.8134,5.64,0.21,4.7
CORE-3,61,69,,,0.438533333,24.2424,27.75066667,25.99653333,,,
CORE-3,69,71,35.7,0.837,0.4238,27.75066667,28.59826667,28.17446667,5.04,0.19,4.1
CORE-3,71,79,,,0.4498,28.59826667,32.19666667,30.39746667,,,
CORE-3,79,81,38,0.822,0.4628,32.19666667,33.12226667,32.65946667,4.74,0.22,3.8
CORE-3,81,89,,,0.477533333,33.12226667,36.94253333,35.0324,,,
CORE-3,89,91,38,0.822,0.4628,36.94253333,37.86813333,37.40533333,3.58,0.16,2.64
CORE-3,91,99,,,0.466266667,37.86813333,41.59826667,39.7332,,,
CORE-3,99,101,40.6,0.805,0.507,41.59826667,42.61226667,42.10526667,3.14,0.16,2.2
CORE-3,101,119,,,0.4784,42.61226667,51.22346667,46.91786667,,,
CORE-3,119,121,35.9,0.835,0.429,51.22346667,52.08146667,51.65246667,2.88,0.12,1.94
CORE-3,121,139,,,0.481,52.08146667,60.73946667,56.41046667,,,
CORE-3,139,141,40.1,0.808,0.4992,60.73946667,61.73786667,61.23866667,1.98,0.13,1.04
CORE-3,141,159,,,0.4914,61.73786667,70.58306667,66.16046667,,,
CORE-3,159,161,41,0.802,0.5148,70.58306667,71.61266667,71.09786667,1.53,0.09,0.59
CORE-3,161,179,,,0.481866667,71.61266667,80.28626667,75.94946667,,,
CORE-3,179,181,37.8,0.823,0.4602,80.28626667,81.20666667,80.74646667,1.18,0.11,0.24
CORE-3,181,199,,,0.474933333,81.20666667,89.75546667,85.48106667,,,
CORE-3,199,201,38.4,0.819,0.4706,89.75546667,90.69666667,90.22606667,0.87,0.09,
CORE-3,201,219,,,0.481866667,90.69666667,99.37026667,95.03346667,,,
CORE-3,219,221,39.8,0.81,0.494,99.37026667,100.3582667,99.86426667,1.02,0.07,
CORE-3,221,259,,,0.4875,100.3582667,118.8832667,109.6207667,,,
CORE-3,259,261,39,0.815,0.481,118.8832667,119.8452667,119.3642667,0.94,0.07,
CORE-4,0,2,29.1,0.876,0.3224,0,0.6448,0.3224,10.61,0.31,9.64
CORE-4,2,4,,,0.3718,0.6448,1.3884,1.0166,,,
CORE-4,4,6,34.1,0.847,0.3978,1.3884,2.184,1.7862,9.86,0.25,8.89
CORE-4,6,9,,,0.3952,2.184,3.3696,2.7768,,,
CORE-4,9,11,33.9,0.848,0.3952,3.3696,4.16,3.7648,11.44,0.34,10.47
CORE-4,11,14,,,0.385666667,4.16,5.317,4.7385,,,
CORE-4,14,16,33.7,0.849,0.3926,5.317,6.1022,5.7096,8.85,0.24,7.88
CORE-4,16,19,,,0.383933333,6.1022,7.254,6.6781,,,
CORE-4,19,21,32.2,0.858,0.3692,7.254,7.9924,7.6232,9.36,0.22,8.39
CORE-4,21,29,,,0.394333333,7.9924,11.14706667,9.569733333,,,
CORE-4,29,31,33.6,0.85,0.39,11.14706667,11.92706667,11.53706667,8.6,0.28,7.63
CORE-4,31,39,,,0.414266667,11.92706667,15.2412,13.58413333,,,
CORE-4,39,41,35.6,0.837,0.4238,15.2412,16.0888,15.665,7.31,0.27,6.34
CORE-4,41,49,,,0.425533333,16.0888,19.49306667,17.79093333,,,
CORE-4,49,51,36,0.835,0.429,19.49306667,20.35106667,19.92206667,6.77,0.23,5.8
CORE-4,51,59,,,0.435933333,20.35106667,23.83853333,22.0948,,,
CORE-4,59,61,35.5,0.837,0.4238,23.83853333,24.68613333,24.26233333,5.3,0.22,4.33
CORE-4,61,69,,,0.458466667,24.68613333,28.35386667,26.52,,,
CORE-4,69,71,37.6,0.825,0.455,28.35386667,29.26386667,28.80886667,5.09,0.22,4.12
CORE-4,71,79,,,0.468866667,29.26386667,33.0148,31.13933333,,,
CORE-4,79,81,39.9,0.809,0.4966,33.0148,34.008,33.5114,4.36,0.18,3.39
CORE-4,81,89,,,0.467133333,34.008,37.74506667,35.87653333,,,
CORE-4,89,91,37.6,0.825,0.455,37.74506667,38.65506667,38.20006667,4.21,0.17,3.24
CORE-4,91,99,,,0.4576,38.65506667,42.31586667,40.48546667,,,
CORE-4,99,101,37.2,0.827,0.4498,42.31586667,43.21546667,42.76566667,4.95,0.21,3.98
CORE-4,101,119,,,0.453266667,43.21546667,51.37426667,47.29486667,,,
CORE-4,119,121,38.3,0.82,0.468,51.37426667,52.31026667,51.84226667,2.26,0.12,1.29
CORE-4,121,139,,,0.474933333,52.31026667,60.85906667,56.58466667,,,
CORE-4,139,141,36.7,0.83,0.442,60.85906667,61.74306667,61.30106667,2.56,0.17,1.59
CORE-4,141,159,,,0.471466667,61.74306667,70.22946667,65.98626667,,,
CORE-4,159,161,40.9,0.802,0.5148,70.22946667,71.25906667,70.74426667,1.7,0.11,0.73
CORE-4,161,179,,,0.482733333,71.25906667,79.94826667,75.60366667,,,
CORE-4,179,181,37.7,0.824,0.4576,79.94826667,80.86346667,80.40586667,1.55,0.11,0.58
CORE-4,181,199,,,0.471466667,80.86346667,89.34986667,85.10666667,,,
CORE-4,199,201,38.8,0.817,0.4758,89.34986667,90.30146667,89.82566667,0.94,0.07,
CORE-4,201,219,,,0.4706,90.30146667,98.77226667,94.53686667,,,
CORE-4,219,221,39.1,0.815,0.481,98.77226667,99.73426667,99.25326667,0.98,0.12,
CORE-4,221,259,,,0.468,99.73426667,117.5182667,108.6262667,,,
CORE-4,259,261,37.6,0.825,0.455,117.5182667,118.4282667,117.9732667,0.99,0.07,
CORE-5,0,2,31.4,0.863,0.3562,0,0.7124,0.3562,10.04,0.31,9.22
CORE-5,2,4,,,0.362266667,0.7124,1.436933333,1.074666667,,,
CORE-5,4,6,32.8,0.855,0.377,1.436933333,2.190933333,1.813933333,9.71,0.32,8.89
CORE-5,6,9,,,0.373533333,2.190933333,3.311533333,2.751233333,,,
CORE-5,9,11,31.2,0.864,0.3536,3.311533333,4.018733333,3.665133333,8.64,0.29,7.82
CORE-5,11,14,,,0.372666667,4.018733333,5.136733333,4.577733333,,,
CORE-5,14,16,33.5,0.85,0.39,5.136733333,5.916733333,5.526733333,8.36,0.27,7.54
CORE-5,16,19,,,0.396066667,5.916733333,7.104933333,6.510833333,,,
CORE-5,19,21,32.6,0.856,0.3744,7.104933333,7.853733333,7.479333333,7.69,0.29,6.87
CORE-5,21,29,,,0.402133333,7.853733333,11.0708,9.462266667,,,
CORE-5,29,31,35.6,0.837,0.4238,11.0708,11.9184,11.4946,6.1,0.27,5.28
CORE-5,31,39,,,0.411666667,11.9184,15.21173333,13.56506667,,,
CORE-5,39,41,34.6,0.843,0.4082,15.21173333,16.02813333,15.61993333,7.83,0.25,7.01
CORE-5,41,49,,,0.4082,16.02813333,19.29373333,17.66093333,,,
CORE-5,49,51,34.4,0.845,0.403,19.29373333,20.09973333,19.69673333,6.68,0.21,5.86
CORE-5,51,59,,,0.422933333,20.09973333,23.4832,21.79146667,,,
CORE-5,59,61,35,0.841,0.4134,23.4832,24.31,23.8966,4.83,0.25,
CORE-5,61,69,,,0.4407,24.31,27.8356,26.0728,,,
CORE-5,69,71,37.4,0.826,0.4524,27.8356,28.7404,28.288,5.48,0.2,4.66
CORE-5,71,79,,,0.4563,28.7404,32.3908,30.5656,,,
CORE-5,79,81,37.65,0.8245,0.4563,32.3908,33.3034,32.8471,2.98,0.19,2.16
CORE-5,81,89,,,0.447633333,33.3034,36.88446667,35.09393333,,,
CORE-5,89,91,37.9,0.823,0.4602,36.88446667,37.80486667,37.34466667,3.04,0.12,2.22
CORE-5,91,99,,,0.464533333,37.80486667,41.52113333,39.663,,,
CORE-5,99,101,35.8,0.836,0.4264,41.52113333,42.37393333,41.94753333,3.03,0.14,2.21
CORE-5,101,119,,,0.477533333,42.37393333,50.96953333,46.67173333,,,
CORE-5,119,121,40.5,0.805,0.507,50.96953333,51.98353333,51.47653333,1.87,0.13,1.05
CORE-5,121,139,,,0.4888,51.98353333,60.78193333,56.38273333,,,
CORE-5,139,141,40,0.808,0.4992,60.78193333,61.78033333,61.28113333,1.43,0.11,0.61
CORE-5,141,159,,,0.480133333,61.78033333,70.42273333,66.10153333,,,
CORE-5,159,161,37.9,0.823,0.4602,70.42273333,71.34313333,70.88293333,1.36,0.11,0.54
CORE-5,161,179,,,0.471466667,71.34313333,79.82953333,75.58633333,,,
CORE-5,179,181,39.1,0.815,0.481,79.82953333,80.79153333,80.31053333,1,0.1,0.18
CORE-5,181,199,,,0.464533333,80.79153333,89.15313333,84.97233333,,,
CORE-5,199,201,38.6,0.818,0.4732,89.15313333,90.09953333,89.62633333,1.09,0.1,0.27
CORE-5,201,219,,,0.455866667,90.09953333,98.30513333,94.20233333,,,
CORE-5,219,221,36.6,0.831,0.4394,98.30513333,99.18393333,98.74453333,0.77,0.1,
CORE-5,221,259,,,0.4472,99.18393333,116.1775333,107.6807333,,,
CORE-5,259,261,37.6,0.825,0.455,116.1775333,117.0875333,116.6325333,0.86,0.09,
CORE-6,0,2,30.6,0.867,0.3458,0,0.6916,0.3458,11.28,0.42,10.28
CORE-6,2,4,,,0.394333333,0.6916,1.480266667,1.085933333,,,
CORE-6,4,6,35.2,0.84,0.416,1.480266667,2.312266667,1.896266667,11.76,0.4,10.76
CORE-6,6,9,,,0.4238,2.312266667,3.583666667,2.947966667,,,
CORE-6,9,11,35.5,0.838,0.4212,3.583666667,4.426066667,4.004866667,10.19,0.29,9.19
CORE-6,11,14,,,0.427266667,4.426066667,5.707866667,5.066966667,,,
CORE-6,14,16,36.3,0.833,0.4342,5.707866667,6.576266667,6.142066667,9.48,0.27,8.48
CORE-6,16,19,,,0.4368,6.576266667,7.886666667,7.231466667,,,
CORE-6,19,21,35.8,0.836,0.4264,7.886666667,8.739466667,8.313066667,9.86,0.3,8.86
CORE-6,21,29,,,0.443733333,8.739466667,12.28933333,10.5144,,,
CORE-6,29,31,37.2,0.827,0.4498,12.28933333,13.18893333,12.73913333,10.42,0.26,9.42
CORE-6,31,39,,,0.453266667,13.18893333,16.81506667,15.002,,,
CORE-6,39,41,37.5,0.825,0.455,16.81506667,17.72506667,17.27006667,8.85,0.27,7.85
CORE-6,41,59,,,0.458466667,17.72506667,25.97746667,21.85126667,,,
CORE-6,59,61,37.5,0.825,0.455,25.97746667,26.88746667,26.43246667,8.11,0.16,7.11
CORE-6,61,69,,,0.454133333,26.88746667,30.52053333,28.704,,,
CORE-6,69,71,38.1,0.821,0.4654,30.52053333,31.45133333,30.98593333,7.39,0.23,6.39
CORE-6,71,79,,,0.445466667,31.45133333,35.01506667,33.2332,,,
CORE-6,79,81,36.7,0.83,0.442,35.01506667,35.89906667,35.45706667,7.82,0.35,6.82
CORE-6,81,89,,,0.450666667,35.89906667,39.5044,37.70173333,,,
CORE-6,89,91,36,0.835,0.429,39.5044,40.3624,39.9334,5.89,0.36,4.89
CORE-6,91,99,,,0.4576,40.3624,44.0232,42.1928,,,
CORE-6,99,101,39.1,0.815,0.481,44.0232,44.9852,44.5042,6.17,0.21,5.17
CORE-6,101,119,,,0.481866667,44.9852,53.6588,49.322,,,
CORE-6,119,121,38,0.822,0.4628,53.6588,54.5844,54.1216,4.97,0.25,3.97
CORE-6,121,139,,,0.4836,54.5844,63.2892,58.9368,,,
CORE-6,139,141,40.2,0.807,0.5018,63.2892,64.2928,63.791,4.29,0.17,3.29
CORE-6,141,159,,,0.5018,64.2928,73.3252,68.809,,,
CORE-6,159,161,39.3,0.813,0.4862,73.3252,74.2976,73.8114,4.53,0.23,3.53
CORE-6,161,179,,,0.503533333,74.2976,83.3612,78.8294,,,
CORE-6,179,181,41,0.801,0.5174,83.3612,84.396,83.8786,3.28,0.17,2.28
CORE-6,181,199,,,0.513933333,84.396,93.6468,89.0214,,,
CORE-6,199,201,40.6,0.805,0.507,93.6468,94.6608,94.1538,2.74,0.13,1.74
CORE-6,201,219,,,0.521733333,94.6608,104.052,99.3564,,,
CORE-6,219,221,41.3,0.801,0.5174,104.052,105.0868,104.5694,1.85,0.16,0.85
CORE-6,221,259,,,0.5291,105.0868,125.1926,115.1397,,,
CORE-6,259,261,42.4,0.792,0.5408,125.1926,126.2742,125.7334,1.27,0.11,0.27
CORE-7,0,2,32.3,0.857,0.3718,0,0.7436,0.3718,13.57,0.34,12.47
CORE-7,2,4,,,0.4238,0.7436,1.5912,1.1674,,,
CORE-7,4,6,36.6,0.831,0.4394,1.5912,2.47,2.0306,11.55,0.32,10.45
CORE-7,6,9,,,0.451533333,2.47,3.8246,3.1473,,,
CORE-7,9,11,37.8,0.823,0.4602,3.8246,4.745,4.2848,11,0.3,9.9
CORE-7,11,14,,,0.474066667,4.745,6.1672,5.4561,,,
CORE-7,14,16,37.6,0.825,0.455,6.1672,7.0772,6.6222,12.13,0.36,11.03
CORE-7,16,19,,,0.468866667,7.0772,8.4838,7.7805,,,
CORE-7,19,21,40.5,0.805,0.507,8.4838,9.4978,8.9908,9.81,0.28,8.71
CORE-7,21,29,,,0.4888,9.4978,13.4082,11.453,,,
CORE-7,29,31,36.9,0.829,0.4446,13.4082,14.2974,13.8528,8.53,0.28,7.43
CORE-7,31,39,,,0.477533333,14.2974,18.11766667,16.20753333,,,
CORE-7,39,41,40.9,0.802,0.5148,18.11766667,19.14726667,18.63246667,6.9,0.22,5.8
CORE-7,41,49,,,0.4862,19.14726667,23.03686667,21.09206667,,,
CORE-7,49,51,38.6,0.818,0.4732,23.03686667,23.98326667,23.51006667,4.58,0.29,3.48
CORE-7,51,69,,,0.481,23.98326667,32.64126667,28.31226667,,,
CORE-7,69,71,38.4,0.819,0.4706,32.64126667,33.58246667,33.11186667,6.52,0.28,5.42
CORE-7,71,79,,,0.4836,33.58246667,37.45126667,35.51686667,,,
CORE-7,79,81,40.1,0.808,0.4992,37.45126667,38.44966667,37.95046667,4.55,0.23,3.45
CORE-7,81,89,,,0.481866667,38.44966667,42.3046,40.37713333,,,
CORE-7,89,91,39.1,0.815,0.481,42.3046,43.2666,42.7856,3.65,0.23,2.55
CORE-7,91,99,,,0.487066667,43.2666,47.16313333,45.21486667,,,
CORE-7,99,101,38.1,0.821,0.4654,47.16313333,48.09393333,47.62853333,3.68,0.23,2.58
CORE-7,101,119,,,0.508733333,48.09393333,57.25113333,52.67253333,,,
CORE-7,119,121,41,0.802,0.5148,57.25113333,58.28073333,57.76593333,2.54,0.17,1.44
CORE-7,121,139,,,0.533,58.28073333,67.87473333,63.07773333,,,
CORE-7,139,141,42.7,0.79,0.546,67.87473333,68.96673333,68.42073333,1.81,0.14,0.71
CORE-7,141,159,,,0.547733333,68.96673333,78.82593333,73.89633333,,,
CORE-7,159,161,42.2,0.793,0.5382,78.82593333,79.90233333,79.36413333,1.51,0.17,0.41
CORE-7,161,179,,,0.5564,79.90233333,89.91753333,84.90993333,,,
CORE-7,179,181,43.2,0.785,0.559,89.91753333,91.03553333,90.47653333,1.52,0.13,0.42
CORE-7,181,199,,,0.552066667,91.03553333,100.9727333,96.00413333,,,
CORE-7,199,201,44.1,0.78,0.572,100.9727333,102.1167333,101.5447333,1.3,0.13,0.2
CORE-7,201,219,,,0.5538,102.1167333,112.0851333,107.1009333,,,
CORE-7,219,221,41.5,0.798,0.5252,112.0851333,113.1355333,112.6103333,1.2,0.09,
CORE-7,221,259,,,0.5447,113.1355333,133.8341333,123.4848333,,,
CORE-7,259,261,43.7,0.783,0.5642,133.8341333,134.9625333,134.3983333,1.18,0.11,
CORE-8,0,2,36.2,0.833,0.4342,0,0.8684,0.4342,11.09,0.39,10.22
CORE-8,2,4,,,0.477533333,0.8684,1.823466667,1.345933333,,,
CORE-8,4,6,38.2,0.821,0.4654,1.823466667,2.754266667,2.288866667,9.88,0.33,9.01
CORE-8,6,9,,,0.510466667,2.754266667,4.285666667,3.519966667,,,
CORE-8,9,11,42,0.795,0.533,4.285666667,5.351666667,4.818666667,10.19,0.27,9.32
CORE-8,11,14,,,0.534733333,5.351666667,6.955866667,6.153766667,,,
CORE-8,14,16,42,0.795,0.533,6.955866667,8.021866667,7.488866667,10.93,0.3,10.06
