sys_sample_code,Analyte,Value,Detect_Y_N,Area,Outfall,Date,Day_of_year,Month,Season,Season_idx
61956-20070117,Nitrate,0.129,Y,Area_E,862A,2007-01-17 00:00:00,17,1,1-Winter,1
61956-20070117,Nitrite,0.0028,Y,Area_E,862A,2007-01-17 00:00:00,17,1,1-Winter,1
61969-20070118,Nitrate,1.57,Y,Area_E,863,2007-01-18 00:00:00,18,1,1-Winter,1
61969-20070118,Nitrite,0.0021,Y,Area_E,863,2007-01-18 00:00:00,18,1,1-Winter,1
CFSA-SW-080214,Nitrate,0.05,Y,Area_G,864A,2008-02-14 00:00:00,45,2,1-Winter,1
CFSA-SW-080513,Nitrite,0.026,Y,Area_G,864A,2008-05-13 00:00:00,134,5,2-Spring,2
COL-SW-905A-120220,Nitrate,0.57,Y,Area_C,905A,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-906-120217,Nitrate,0.023,Y,Area_C,906,2012-02-17 00:00:00,48,2,1-Winter,1
COL-SW-911-090316,Nitrate,0.28,Y,Area_C,911,2009-03-16 00:00:00,75,3,1-Winter,1
COL-SW-911-091216,Nitrate,0.38,Y,Area_C,911,2009-12-16 00:00:00,350,12,4-Fall,4
COL-SW-911-091216,Nitrite,0.009,Y,Area_C,911,2009-12-16 00:00:00,350,12,4-Fall,4
DY-SW-832A-120124,Nitrate,0.079,Y,Area_A,832A,2012-01-24 00:00:00,24,1,1-Winter,1
DY-SW-832A-120124,Nitrite,0.018,Y,Area_A,832A,2012-01-24 00:00:00,24,1,1-Winter,1
DY-SW-833-101101,Nitrate,2.81,Y,Area_A,833,2010-11-01 00:00:00,305,11,4-Fall,4
ND-SW-850-120209,Nitrate,0.164,Y,Area_L,850,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-850-120209,Nitrite,0.011,Y,Area_L,850,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-850A-090127,Nitrate,0.95,Y,Area_H,850A,2009-01-27 00:00:00,27,1,1-Winter,1
ND-SW-850A-090127,Nitrite,0.008,Y,Area_H,850A,2009-01-27 00:00:00,27,1,1-Winter,1
ND-SW-854-100609-20090609,Nitrate,1.18,Y,Area_H,854,2009-06-09 00:00:00,160,6,2-Spring,2
ND-SW-854-100609-20090609,Nitrite,0.064,Y,Area_H,854,2009-06-09 00:00:00,160,6,2-Spring,2
RMP19-LK-872-20200206,Nitrate,0.487,Y,Area_I,872,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-LK-873-20191204,Nitrate,1.42,Y,Area_I,873C,2019-12-04 00:00:00,338,12,4-Fall,4
RMP19-PB-865E-20200206,Nitrate,0.768,Y,Area_J,865E,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-PB-865F-20191212,Nitrate,0.033,Y,Area_J,865F,2019-12-12 00:00:00,346,12,4-Fall,4
RMP19-TC-UK1-20200206,Nitrate,0.231,Y,Area_K,UK1,2020-02-06 00:00:00,37,2,1-Winter,1
SH-SW-845-080325-20080324,Nitrate,1.39,Y,Area_F,845,2008-03-24 00:00:00,84,3,1-Winter,1
SW0886-130919,Nitrate,1.34,Y,Area_I,886,2013-09-19 00:00:00,262,9,3-Summer,3
SW0886-131016,Nitrate,0.944,Y,Area_I,886,2013-10-16 00:00:00,289,10,4-Fall,4
SW0886-131103_SAMP1,Nitrate,0.624,Y,Area_I,886,2013-11-03 00:00:00,307,11,4-Fall,4
SW0886-131103_SAMP1,Nitrite,0.0036,Y,Area_I,886,2013-11-03 00:00:00,307,11,4-Fall,4
SW0886-131103_SAMP2,Nitrate,0.626,Y,Area_I,886,2013-11-03 00:00:00,307,11,4-Fall,4
SW0886-131103_SAMP2,Nitrite,0.0033,Y,Area_I,886,2013-11-03 00:00:00,307,11,4-Fall,4
SW0886-131107,Nitrate,0.55,Y,Area_I,886,2013-11-07 00:00:00,311,11,4-Fall,4
SW0886-131107,Nitrite,0.0031,Y,Area_I,886,2013-11-07 00:00:00,311,11,4-Fall,4
SW0886-131114,Nitrate,0.649,Y,Area_I,886,2013-11-14 00:00:00,318,11,4-Fall,4
0587-01-20061103,Nitrate,0.549,Y,Area_E,863,2006-11-03 00:00:00,307,11,4-Fall,4
0587-01-20061103,Nitrite,0.031,Y,Area_E,863,2006-11-03 00:00:00,307,11,4-Fall,4
0588-01-20061102,Nitrate,0.504,Y,Area_E,863,2006-11-02 00:00:00,306,11,4-Fall,4
0588-01-20061102,Nitrite,0.0297,Y,Area_E,863,2006-11-02 00:00:00,306,11,4-Fall,4
0588-02-20061102,Nitrate,0.137,Y,Area_E,863,2006-11-02 00:00:00,306,11,4-Fall,4
61961-20070118,Nitrate,0.352,Y,Area_E,862C,2007-01-18 00:00:00,18,1,1-Winter,1
61961-20070118,Nitrite,0.0563,Y,Area_E,862C,2007-01-18 00:00:00,18,1,1-Winter,1
61964-20070118,Nitrate,0.164,Y,Area_E,862A,2007-01-18 00:00:00,18,1,1-Winter,1
61964-20070118,Nitrite,0.0279,Y,Area_E,862A,2007-01-18 00:00:00,18,1,1-Winter,1
61965-20070118,Nitrate,0.29,Y,Area_G,864A,2007-01-18 00:00:00,18,1,1-Winter,1
61967-20070118,Nitrate,0.683,Y,Area_E,862A,2007-01-18 00:00:00,18,1,1-Winter,1
61967-20070118,Nitrite,0.0065,Y,Area_E,862A,2007-01-18 00:00:00,18,1,1-Winter,1
CFSA-SW-02-120221,Nitrate,0.284,Y,Area_G,864A,2012-02-21 00:00:00,52,2,1-Winter,1
COL-SW-903-120220,Nitrate,0.266,Y,Area_C,903,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-903-120220,Nitrite,0.011,Y,Area_C,903,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-904-120220,Nitrate,0.329,Y,Area_C,904,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-905A-080317,Nitrate,0.5,Y,Area_C,905A,2008-03-17 00:00:00,77,3,1-Winter,1
COL-SW-907-090316,Nitrate,0.13,Y,Area_C,907,2009-03-16 00:00:00,75,3,1-Winter,1
COL-SW-907-091216,Nitrate,0.53,Y,Area_C,907,2009-12-16 00:00:00,350,12,4-Fall,4
COL-SW-907-091216,Nitrite,0.013,Y,Area_C,907,2009-12-16 00:00:00,350,12,4-Fall,4
COL-SW-911E-091216,Nitrate,0.04,Y,Area_C,911E,2009-12-16 00:00:00,350,12,4-Fall,4
COL-SW-911E-091216,Nitrite,0.006,Y,Area_C,911E,2009-12-16 00:00:00,350,12,4-Fall,4
SW0886-20180905-SS-WS,Nitrate,1.63,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-20180905-SS-WS,Nitrite,0.0029,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-20180912-SS-WS,Nitrate,1.16,Y,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-20180912-SS-WS,Nitrite,0.0024,Y,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-20181009-SS-WS,Nitrate,0.876,Y,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-3-20180822-SS-WS,Nitrate,1.09,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-3-20180829-FR1-WS,Nitrate,1.29,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-3-20180829-FR1-WS,Nitrite,0.006,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-3-20180829-FR2-WS,Nitrate,1.31,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-3-20180829-FR2-WS,Nitrite,0.0037,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-3-20181028-SS-WS,Nitrate,0.661,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-3-20181028-SS-WS,Nitrite,0.0044,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-3-20181107-SS-WS,Nitrate,1.82,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-6-20180815-SS-WS,Nitrate,1.01,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-6-20181017-SS-WS,Nitrate,1.21,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-6-20181017-SS-WS,Nitrite,0.0034,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-6-20181024-SS-WS,Nitrate,0.808,Y,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-6-20181028-SS-WS,Nitrate,0.792,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-6-20181028-SS-WS,Nitrite,0.0224,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-9-20181009-SS-WS,Nitrate,0.0234,Y,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-9-20181017-SS-WS,Nitrate,0.0394,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-9-20181017-SS-WS,Nitrite,0.0057,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-9-20181024-SS-WS,Nitrate,0.0411,Y,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-9-20181024-SS-WS,Nitrite,0.0045,Y,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
DY-SW-830A-120124,Nitrate,1.75,Y,Area_A,830A,2012-01-24 00:00:00,24,1,1-Winter,1
DY-SW-830B-100114,Nitrate,0.13,Y,Area_A,830B,2010-01-14 00:00:00,14,1,1-Winter,1
DY-SW-831-111229,Nitrate,1.7,Y,Area_A,831,2011-12-29 00:00:00,363,12,4-Fall,4
DY-SW-833-120104,Nitrate,0.597,Y,Area_A,833,2012-01-04 00:00:00,4,1,1-Winter,1
DY-SW-833-120104,Nitrite,0.006,Y,Area_A,833,2012-01-04 00:00:00,4,1,1-Winter,1
DY-SW-834-100526,Nitrate,0.1,Y,Area_A,834,2010-05-26 00:00:00,146,5,2-Spring,2
DY-SW-834-120124-20120104,Nitrate,0.162,Y,Area_A,834,2012-01-04 00:00:00,4,1,1-Winter,1
DY-SW-834-120124-20120104,Nitrite,0.02,Y,Area_A,834,2012-01-04 00:00:00,4,1,1-Winter,1
DY-SW-835-120125-20120105,Nitrate,0.097,Y,Area_A,835,2012-01-05 00:00:00,5,1,1-Winter,1
DY-SW-835-120125-20120105,Nitrite,0.006,Y,Area_A,835,2012-01-05 00:00:00,5,1,1-Winter,1
DY-SW-837-100831,Nitrate,0.48,Y,Area_F,837,2010-08-31 00:00:00,243,8,3-Summer,3
EHWW-854_20210722,Nitrate,2.63,Y,Area_H,854,2021-07-22 00:00:00,203,7,3-Summer,3
EHWW-854_20210722,Nitrite,0.238,Y,Area_H,854,2021-07-22 00:00:00,203,7,3-Summer,3
EHWW-873B_20210722,Nitrate,0.733,Y,Area_I,873B,2021-07-19 00:00:00,200,7,3-Summer,3
EHWW-847A_20210722,Nitrate,1.45,Y,Area_B,847A,2021-07-22 00:00:00,203,7,3-Summer,3
EHWW-847A_20210722,Nitrite,0.108,Y,Area_B,847A,2021-07-22 00:00:00,203,7,3-Summer,3
EHWW-873B_20210830,Nitrate,0.613,Y,Area_I,873B,2021-08-30 00:00:00,242,8,3-Summer,3
EHWW-878A_20210830,Nitrate,0.035,Y,Area_I,878A,2021-08-30 00:00:00,242,8,3-Summer,3
EHWW-847_20210916,Nitrate,1.1,Y,Area_B,847,2021-09-16 00:00:00,259,9,3-Summer,3
EHWW-847_20210916,Nitrite,0.006,Y,Area_B,847,2021-09-16 00:00:00,259,9,3-Summer,3
ND-SW-850B-120209,Nitrate,0.036,Y,Area_H,850B,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-850B-120209,Nitrite,0.016,Y,Area_H,850B,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-851-120209,Nitrate,0.186,Y,Area_H,851,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-851-120209,Nitrite,0.024,Y,Area_H,851,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-852-120209,Nitrate,0.088,Y,Area_H,852,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-852-120209,Nitrite,0.035,Y,Area_H,852,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-855-120209,Nitrate,0.061,Y,Area_H,855,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-855-120209,Nitrite,0.013,Y,Area_H,855,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-856B-120209,Nitrate,4.77,Y,Area_H,856B,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-856B-120209,Nitrite,0.203,Y,Area_H,856B,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-856C-091116,Nitrate,0.52,Y,Area_H,856C,2009-11-16 00:00:00,320,11,4-Fall,4
ND-SW-856C-091116,Nitrite,0.059,Y,Area_H,856C,2009-11-16 00:00:00,320,11,4-Fall,4
EHWW-878A_20211019,Nitrate,0.195,Y,Area_I,878A,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-902_20211019,Nitrate,1.11,Y,Area_I,902,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-902_20211019,Nitrite,0.01,Y,Area_I,902,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-911_20211019,Nitrate,0.555,Y,Area_C,911,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-911_20211117,Nitrate,0.407,Y,Area_C,911,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-912_20211117,Nitrate,0.073,Y,Area_D,912,2021-11-17 00:00:00,321,11,4-Fall,4
RMP19-LK-872-20191204,Nitrate,0.902,Y,Area_I,872,2019-12-04 00:00:00,338,12,4-Fall,4
EHWW-865B-20211213,Nitrate,0.454,Y,Area_J,865B,2021-12-13 00:00:00,347,12,4-Fall,4
EHWW-865B_20211117,Nitrate,0.887,Y,Area_J,865B,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-865B_20211117,Nitrite,0.0075,Y,Area_J,865B,2021-11-17 00:00:00,321,11,4-Fall,4
RMP19-LK-873-20200206,Nitrate,0.729,Y,Area_I,873C,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-LK-873-20200206,Nitrite,0.008,Y,Area_I,873C,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-MH-865A-20200206,Nitrate,0.119,Y,Area_G,865A,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-PB-865E-20191212,Nitrate,0.424,Y,Area_J,865E,2019-12-12 00:00:00,346,12,4-Fall,4
RMP19-PB-865F-20200206,Nitrate,0.03,Y,Area_J,865F,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-PB-865F-20200206,Nitrite,0.006,Y,Area_J,865F,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-TC-UK1-20191204,Nitrate,0.335,Y,Area_K,UK1,2019-12-04 00:00:00,338,12,4-Fall,4
SH-SW-842A-120224,Nitrate,0.111,Y,Area_F,842A,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-842A-120224,Nitrite,0.06,Y,Area_F,842A,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-843-120224,Nitrate,0.088,Y,Area_F,843,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-843-120224,Nitrite,0.034,Y,Area_F,843,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-847-120224,Nitrate,0.136,Y,Area_B,847,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-847-120224,Nitrite,0.018,Y,Area_B,847,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-847A-120224,Nitrate,0.099,Y,Area_B,847A,2012-02-24 00:00:00,55,2,1-Winter,1
SH-SW-847A-120224,Nitrite,0.057,Y,Area_B,847A,2012-02-24 00:00:00,55,2,1-Winter,1
SW0886-050401,Nitrate,1.5,Y,Area_I,886,2005-04-01 00:00:00,91,4,2-Spring,2
SW0886-050811,Nitrate,1.2,Y,Area_I,886,2005-08-11 00:00:00,223,8,3-Summer,3
SW0886-060418,Nitrate,1.5,Y,Area_I,886,2006-04-18 00:00:00,108,4,2-Spring,2
SW0886-070313,Nitrate,0.4,Y,Area_I,886,2007-03-13 00:00:00,72,3,1-Winter,1
SW0886-070910,Nitrate,1.1,Y,Area_I,886,2007-09-10 00:00:00,253,9,3-Summer,3
SW0886-080910,Nitrate,1.4,Y,Area_I,886,2008-09-10 00:00:00,254,9,3-Summer,3
SW0886-090323,Nitrate,1.1,Y,Area_I,886,2009-03-23 00:00:00,82,3,1-Winter,1
SW0886-100219,Nitrate,0.8,Y,Area_I,886,2010-02-19 00:00:00,50,2,1-Winter,1
SW0886-100722,Nitrate,1,Y,Area_I,886,2010-07-22 00:00:00,203,7,3-Summer,3
SW0886-110222,Nitrate,0.4,Y,Area_I,886,2011-02-22 00:00:00,53,2,1-Winter,1
SW0886-110717-20110714,Nitrate,1,Y,Area_I,886,2011-07-14 00:00:00,195,7,3-Summer,3
SW0886-120803,Nitrate,0.9,Y,Area_I,886,2012-08-03 00:00:00,216,8,3-Summer,3
SW0886-121122,Nitrate,1.4,Y,Area_I,886,2012-11-22 00:00:00,327,11,4-Fall,4
SW0886-130322,Nitrate,1.2,Y,Area_I,886,2013-03-22 00:00:00,81,3,1-Winter,1
SW0886-130821_SAMP1,Nitrate,1.61,Y,Area_I,886,2013-08-21 00:00:00,233,8,3-Summer,3
SW0886-130821_SAMP1,Nitrite,0.0045,Y,Area_I,886,2013-08-21 00:00:00,233,8,3-Summer,3
SW0886-130821_SAMP2,Nitrate,1.62,Y,Area_I,886,2013-08-21 00:00:00,233,8,3-Summer,3
SW0886-130821_SAMP2,Nitrite,0.0056,Y,Area_I,886,2013-08-21 00:00:00,233,8,3-Summer,3
SW0886-130828,Nitrate,0.907,Y,Area_I,886,2013-08-28 00:00:00,240,8,3-Summer,3
SW0886-130828,Nitrite,0.0032,Y,Area_I,886,2013-08-28 00:00:00,240,8,3-Summer,3
SW0886-130904_SAMP1,Nitrate,1.15,Y,Area_I,886,2013-09-04 00:00:00,247,9,3-Summer,3
SW0886-130904_SAMP1,Nitrite,0.0027,Y,Area_I,886,2013-09-04 00:00:00,247,9,3-Summer,3
