sys_sample_code,Analyte,Value,Detect_Y_N,Area,Outfall,Date,Day_of_year,Month,Season,Season_idx
SW0886-130904_SAMP2,Nitrate,1.15,Y,Area_I,886,2013-09-04 00:00:00,247,9,3-Summer,3
SW0886-130911,Nitrate,1.31,Y,Area_I,886,2013-09-11 00:00:00,254,9,3-Summer,3
SW0886-131120,Nitrate,0.745,Y,Area_I,886,2013-11-20 00:00:00,324,11,4-Fall,4
SW0886-131120,Nitrite,0.0037,Y,Area_I,886,2013-11-20 00:00:00,324,11,4-Fall,4
SW0886-131127_SAMP1,Nitrate,0.642,Y,Area_I,886,2013-11-27 00:00:00,331,11,4-Fall,4
SW0886-131127_SAMP2,Nitrate,0.634,Y,Area_I,886,2013-11-27 00:00:00,331,11,4-Fall,4
SW0886-140402,Nitrate,1,Y,Area_I,886,2014-04-02 00:00:00,92,4,2-Spring,2
SW0886-140730,Nitrate,1.1,Y,Area_I,886,2014-07-30 00:00:00,211,7,3-Summer,3
SW0886-150904,Nitrate,1.4,Y,Area_I,886,2015-09-04 00:00:00,247,9,3-Summer,3
YR-SW-848A-100831,Nitrate,0.49,Y,Area_L,848A,2010-08-31 00:00:00,243,8,3-Summer,3
SW0886-20170130-FR1-WS,Nitrate,1.1,Y,Area_I,886,2017-01-30 00:00:00,30,1,1-Winter,1
SW0886-20170927-SS-WS,Nitrate,1.4,Y,Area_I,886,2017-09-27 00:00:00,270,9,3-Summer,3
SW0886-20180313-SS-WS,Nitrate,1.4,Y,Area_I,886,2018-03-13 00:00:00,72,3,1-Winter,1
SW0886-20180815-SS-WS,Nitrate,1.61,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-20180815-SS-WS,Nitrite,0.0052,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-20180822-SS-WS,Nitrate,1.58,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-20180822-SS-WS,Nitrite,0.0032,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-20180829-SS-WS,Nitrate,1.59,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-20180829-SS-WS,Nitrite,0.009,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-20181017-SS-WS,Nitrate,1.47,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-20181017-SS-WS,Nitrite,0.0067,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-20181024-SS-WS,Nitrate,1.43,Y,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-20181028-SS-WS,Nitrate,0.663,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-20181028-SS-WS,Nitrite,0.0046,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-20181107-SS-WS,Nitrate,1.84,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-20181107-SS-WS,Nitrite,0.004,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-20190513-SS-WS,Nitrate,0.8,Y,Area_I,886,2019-05-13 00:00:00,133,5,2-Spring,2
SW0886-20200903-SS-WS,Nitrate,1.2,Y,Area_I,886,2020-09-03 00:00:00,247,9,3-Summer,3
SW0886-3-20180815-SS-WS,Nitrate,1.16,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-3-20180815-SS-WS,Nitrite,0.0039,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-3-20180905-SS-WS,Nitrate,1.22,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-3-20180905-SS-WS,Nitrite,0.004,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-3-20180912-SS-WS,Nitrate,0.927,Y,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-3-20181009-FR1-WS,Nitrate,0.722,Y,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-3-20181009-FR2-WS,Nitrate,0.723,Y,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-3-20181017-SS-WS,Nitrate,1.08,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-3-20181017-SS-WS,Nitrite,0.0062,Y,Area_I,886,2018-10-17 00:00:00,290,10,4-Fall,4
SW0886-3-20181024-SS-WS,Nitrate,0.97,Y,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-6-20180822-SS-WS,Nitrate,1.29,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-6-20180822-SS-WS,Nitrite,0.0032,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-6-20180829-SS-WS,Nitrate,0.83,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-6-20180829-SS-WS,Nitrite,0.0028,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-6-20180905-SS-WS,Nitrate,1.06,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-6-20180912-SS-WS,Nitrate,0.546,Y,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-6-20181009-SS-WS,Nitrate,0.991,Y,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-6-20181009-SS-WS,Nitrite,0.002,Y,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-6-20181107-SS-WS,Nitrate,1.73,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-6-20181107-SS-WS,Nitrite,0.0021,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-9-20180815-SS-WS,Nitrate,0.0534,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-9-20180815-SS-WS,Nitrite,0.0027,Y,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-9-20180822-SS-WS,Nitrate,0.0629,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-9-20180822-SS-WS,Nitrite,0.0022,Y,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-9-20180829-SS-WS,Nitrate,0.0624,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-9-20180829-SS-WS,Nitrite,0.0038,Y,Area_I,886,2018-08-29 00:00:00,241,8,3-Summer,3
SW0886-9-20180905-SS-WS,Nitrate,0.0592,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-9-20180905-SS-WS,Nitrite,0.0028,Y,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-9-20180912-SS-WS,Nitrate,0.0696,Y,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-9-20181028-SS-WS,Nitrate,0.1,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-9-20181028-SS-WS,Nitrite,0.0047,Y,Area_I,886,2018-10-28 00:00:00,301,10,4-Fall,4
SW0886-9-20181107-FR1-WS,Nitrate,0.0438,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-9-20181107-FR1-WS,Nitrite,0.0026,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-9-20181107-FR2-WS,Nitrate,0.0439,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-9-20181107-FR2-WS,Nitrite,0.0023,Y,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
EHWW-878A_20210722,Nitrate,0.144,Y,Area_I,878A,2021-07-19 00:00:00,200,7,3-Summer,3
EHWW-873B_20210915,Nitrate,0.793,Y,Area_I,873B,2021-09-15 00:00:00,258,9,3-Summer,3
EHWW-866_20211019,Nitrate,0.126,Y,Area_K,866,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-873B_20211019,Nitrate,1.35,Y,Area_I,873B,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-864_20211101,Nitrate,6.13,Y,Area_E,864,2021-11-01 00:00:00,305,11,4-Fall,4
EHWW-864_20211101,Nitrite,0.0645,Y,Area_E,864,2021-11-01 00:00:00,305,11,4-Fall,4
EHWW-866_20211117,Nitrate,1.29,Y,Area_K,866,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-873_20211117,Nitrate,2.47,Y,Area_I,873,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-878A_20211117,Nitrate,1.14,Y,Area_I,878A,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-902_20211117,Nitrate,1.4,Y,Area_I,902,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-866-20211213,Nitrate,0.739,Y,Area_K,866,2021-12-13 00:00:00,347,12,4-Fall,4
EHWW-873-20211213,Nitrate,1.64,Y,Area_I,873,2021-12-13 00:00:00,347,12,4-Fall,4
EHWW-878A-20211213,Nitrate,0.722,Y,Area_I,878A,2021-12-13 00:00:00,347,12,4-Fall,4
EHWW-902-20211214,Nitrate,0.741,Y,Area_I,902,2021-12-14 00:00:00,348,12,4-Fall,4
EHWW-902-20211214,Nitrite,0.0059,Y,Area_I,902,2021-12-14 00:00:00,348,12,4-Fall,4
EHWW-911-20211214,Nitrate,0.311,Y,Area_C,911,2021-12-14 00:00:00,348,12,4-Fall,4
EHWW-911-DS-20211214,Nitrate,0.236,Y,Area_C,911,2021-12-14 00:00:00,348,12,4-Fall,4
EHWW-93_20211117,Nitrate,1.08,Y,Area_I,886,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-93_20211021,Nitrate,1.68,Y,Area_I,886,2021-10-21 00:00:00,294,10,4-Fall,4
EHWW-93_20210722,Nitrate,1.93,Y,Area_I,886,2021-07-22 00:00:00,203,7,3-Summer,3
EHWW-93_20210830,Nitrate,1.67,Y,Area_I,886,2021-08-30 00:00:00,242,8,3-Summer,3
EHWW-93_20210915,Nitrate,1.37,Y,Area_I,886,2021-09-15 00:00:00,258,9,3-Summer,3
EHWW-93-20211215,Nitrate,0.7,Y,Area_I,886,2021-12-15 00:00:00,349,12,4-Fall,4
CFSA-SW-080214,Nitrite,0.002,N,Area_G,864A,2008-02-14 00:00:00,45,2,1-Winter,1
COL-SW-905A-120220,Nitrite,0.002,N,Area_C,905A,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-906-120217,Nitrite,0.002,N,Area_C,906,2012-02-17 00:00:00,48,2,1-Winter,1
COL-SW-911-090316,Nitrite,0.002,N,Area_C,911,2009-03-16 00:00:00,75,3,1-Winter,1
DY-SW-833-101101,Nitrite,0.005,N,Area_A,833,2010-11-01 00:00:00,305,11,4-Fall,4
RMP19-LK-872-20200206,Nitrite,0.005,N,Area_I,872,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-LK-873-20191204,Nitrite,0.005,N,Area_I,873C,2019-12-04 00:00:00,338,12,4-Fall,4
RMP19-PB-865E-20200206,Nitrite,0.005,N,Area_J,865E,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-PB-865F-20191212,Nitrite,0.005,N,Area_J,865F,2019-12-12 00:00:00,346,12,4-Fall,4
RMP19-TC-UK1-20200206,Nitrite,0.005,N,Area_K,UK1,2020-02-06 00:00:00,37,2,1-Winter,1
SH-SW-845-080325-20080324,Nitrite,0.002,N,Area_F,845,2008-03-24 00:00:00,84,3,1-Winter,1
SW0886-130919,Nitrite,0.002,N,Area_I,886,2013-09-19 00:00:00,262,9,3-Summer,3
SW0886-131016,Nitrite,0.002,N,Area_I,886,2013-10-16 00:00:00,289,10,4-Fall,4
SW0886-131114,Nitrite,0.002,N,Area_I,886,2013-11-14 00:00:00,318,11,4-Fall,4
0588-02-20061102,Nitrite,0.001,N,Area_E,863,2006-11-02 00:00:00,306,11,4-Fall,4
61965-20070118,Nitrite,0.05,N,Area_G,864A,2007-01-18 00:00:00,18,1,1-Winter,1
CFSA-SW-02-120221,Nitrite,0.002,N,Area_G,864A,2012-02-21 00:00:00,52,2,1-Winter,1
COL-SW-904-120220,Nitrite,0.002,N,Area_C,904,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-905A-080317,Nitrite,0.002,N,Area_C,905A,2008-03-17 00:00:00,77,3,1-Winter,1
COL-SW-907-090316,Nitrite,0.002,N,Area_C,907,2009-03-16 00:00:00,75,3,1-Winter,1
SW0886-20181009-SS-WS,Nitrite,0.002,N,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-3-20180822-SS-WS,Nitrite,0.002,N,Area_I,886,2018-08-22 00:00:00,234,8,3-Summer,3
SW0886-3-20181107-SS-WS,Nitrite,0.002,N,Area_I,886,2018-11-07 00:00:00,311,11,4-Fall,4
SW0886-6-20180815-SS-WS,Nitrite,0.002,N,Area_I,886,2018-08-15 00:00:00,227,8,3-Summer,3
SW0886-6-20181024-SS-WS,Nitrite,0.002,N,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-9-20181009-SS-WS,Nitrite,0.002,N,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
DY-SW-830A-120124,Nitrite,0.005,N,Area_A,830A,2012-01-24 00:00:00,24,1,1-Winter,1
DY-SW-830B-100114,Nitrite,0.005,N,Area_A,830B,2010-01-14 00:00:00,14,1,1-Winter,1
DY-SW-831-111229,Nitrite,0.002,N,Area_A,831,2011-12-29 00:00:00,363,12,4-Fall,4
DY-SW-834-100526,Nitrite,0.005,N,Area_A,834,2010-05-26 00:00:00,146,5,2-Spring,2
DY-SW-837-100831,Nitrite,0.039,N,Area_F,837,2010-08-31 00:00:00,243,8,3-Summer,3
EHWW-902_20210630,Nitrate,0.213,Y,Area_I,902,2021-06-30 00:00:00,181,6,2-Spring,2
EHWW-902_20210630,Nitrite,0.0113,Y,Area_I,902,2021-06-30 00:00:00,181,6,2-Spring,2
EHWW-873B_20210722,Nitrite,0.005,N,Area_I,873B,2021-07-19 00:00:00,200,7,3-Summer,3
ND-SW-850A-091116,Nitrate,0.02,N,Area_H,850A,2009-11-16 00:00:00,320,11,4-Fall,4
ND-SW-850A-091116,Nitrite,0.005,N,Area_H,850A,2009-11-16 00:00:00,320,11,4-Fall,4
ND-SW-856A-120209,Nitrite,0.005,N,Area_H,856A,2012-02-09 00:00:00,40,2,1-Winter,1
EHWW-878A_20211019,Nitrite,0.005,N,Area_I,878A,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-911_20211019,Nitrite,0.005,N,Area_C,911,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-911_20211117,Nitrite,0.005,N,Area_C,911,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-912_20211117,Nitrite,0.005,N,Area_D,912,2021-11-17 00:00:00,321,11,4-Fall,4
RMP19-LK-872-20191204,Nitrite,0.005,N,Area_I,872,2019-12-04 00:00:00,338,12,4-Fall,4
RMP19-MH-865A-20200206,Nitrite,0.005,N,Area_G,865A,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-PB-865E-20191212,Nitrite,0.005,N,Area_J,865E,2019-12-12 00:00:00,346,12,4-Fall,4
RMP19-TC-UK1-20191204,Nitrite,0.005,N,Area_K,UK1,2019-12-04 00:00:00,338,12,4-Fall,4
SW0886-060905,Nitrate,2.5,N,Area_I,886,2006-09-05 00:00:00,248,9,3-Summer,3
SW0886-080225,Nitrate,0.4,N,Area_I,886,2008-02-25 00:00:00,56,2,1-Winter,1
SW0886-090922,Nitrate,0.4,N,Area_I,886,2009-09-22 00:00:00,265,9,3-Summer,3
SW0886-130904_SAMP2,Nitrite,0.002,N,Area_I,886,2013-09-04 00:00:00,247,9,3-Summer,3
SW0886-130911,Nitrite,0.002,N,Area_I,886,2013-09-11 00:00:00,254,9,3-Summer,3
SW0886-131127_SAMP1,Nitrite,0.002,N,Area_I,886,2013-11-27 00:00:00,331,11,4-Fall,4
SW0886-131127_SAMP2,Nitrite,0.002,N,Area_I,886,2013-11-27 00:00:00,331,11,4-Fall,4
YR-SW-848A-100831,Nitrite,0.067,N,Area_L,848A,2010-08-31 00:00:00,243,8,3-Summer,3
SW0886-20181024-SS-WS,Nitrite,0.002,N,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-3-20180912-SS-WS,Nitrite,0.002,N,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-3-20181009-FR1-WS,Nitrite,0.002,N,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-3-20181009-FR2-WS,Nitrite,0.002,N,Area_I,886,2018-10-09 00:00:00,282,10,4-Fall,4
SW0886-3-20181024-SS-WS,Nitrite,0.002,N,Area_I,886,2018-10-24 00:00:00,297,10,4-Fall,4
SW0886-6-20180905-SS-WS,Nitrite,0.002,N,Area_I,886,2018-09-05 00:00:00,248,9,3-Summer,3
SW0886-6-20180912-SS-WS,Nitrite,0.002,N,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
SW0886-9-20180912-SS-WS,Nitrite,0.002,N,Area_I,886,2018-09-12 00:00:00,255,9,3-Summer,3
EHWW-847A_20210702,Nitrite,0.0897,Y,Area_B,847A,2021-07-02 00:00:00,183,7,3-Summer,3
EHWW-878A_20210722,Nitrite,0.005,N,Area_I,878A,2021-07-19 00:00:00,200,7,3-Summer,3
EHWW-873B_20210915,Nitrite,0.005,N,Area_I,873B,2021-09-15 00:00:00,258,9,3-Summer,3
EHWW-866_20211019,Nitrite,0.005,N,Area_K,866,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-873B_20211019,Nitrite,0.005,N,Area_I,873B,2021-10-19 00:00:00,292,10,4-Fall,4
EHWW-866_20211117,Nitrite,0.005,N,Area_K,866,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-873_20211117,Nitrite,0.005,N,Area_I,873,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-878A_20211117,Nitrite,0.005,N,Area_I,878A,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-902_20211117,Nitrite,0.05,N,Area_I,902,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-93_20211117,Nitrite,0.005,N,Area_I,886,2021-11-17 00:00:00,321,11,4-Fall,4
EHWW-93_20211021,Nitrite,0.005,N,Area_I,886,2021-10-21 00:00:00,294,10,4-Fall,4
EHWW-93_20210722,Nitrite,0.005,N,Area_I,886,2021-07-22 00:00:00,203,7,3-Summer,3
EHWW-93_20210915,Nitrite,0.005,N,Area_I,886,2021-09-15 00:00:00,258,9,3-Summer,3
